input_id	dealiased_id	standard_id	short_id
PMID:16199517	PMID:16199517	pubmed:16199517	tt0Vdf4C
PMID:32667922	PMID:32667922	pubmed:32667922	XNSDNc16
DOI:10.1016/j.cels.2020.11.013	DOI:10.1016/j.cels.2020.11.013	doi:10.1016/j.cels.2020.11.013	1Xej0UJj
DOI:10.1137/15M1028479	DOI:10.1137/15M1028479	doi:10.1137/15m1028479	F1rQzaja
DOI:10.1137/0119015	DOI:10.1137/0119015	doi:10.1137/0119015	15P1BiJoj
