TF,gene,Confidence
EP300,CHD7,Low
EP300,EP300,Low
EP300,PRKCE,Low
EP300,SETD1B,Low
FOSL1,FOSL1,High
FOSL1,RUNX3,High
FOSL1,VDR,High
FOSL1,MYBL1,High
FOSL1,SOX10,High
FOSL1,CHEK1,Low
FOSL1,PLK1,Low
FOSL1,CBFB,Low
GATA4,GATA4,High
HOXB6,LHX1,Low
HOXB6,GATA4,Low
HOXB6,HOXB6,High
IRF7,KDM2A,High
IRF7,TP73,Low
IRF7,JUNB,Low
IRF7,RELB,High
IRF7,IRF7,High
IRF7,ZBTB17,High
JUN,STK11,Low
JUN,JUN,High
JUN,JUNB,High
JUN,KLF6,High
JUN,TGIF1,High
JUNB,JUNB,High
JUNB,JUN,High
JUNB,RELB,High
JUNB,FOSL1,High
JUNB,VDR,High
KLF6,KLF6,High
KLF6,TGIF1,High
LHX1,TP73,Low
LHX1,LHX1,High
MITF,LATS2,High
MITF,SOX5,High
MITF,GATA4,High
MITF,KLF6,High
MITF,MAPK1,High
MITF,ZEB2,High
MITF,ADCK3,High
MITF,PBRM1,High
MITF,PRKCE,High
MITF,RIPK2,High
MITF,DSTYK,High
MITF,MITF,High
MITF,SOX10,High
MYBL1,MYBL1,High
MYBL1,BUB1B,High
MYBL1,CBFB,High
MYBL1,DYRK1A,High
MYBL1,PLK1,High
MYBL1,PRPF4B,Low
MYBL1,PTK2,High
NFATC2,NFATC2,High
NFYA,BRD2,High
NFYA,NFYA,High
NFYA,SRF,Low
NR1I2,NR1I2,Low
NR1I2,KDM2A,High
POLR2A,POLR2A,High
POLR2A,SETD1B,High
POLR2A,EP300,High
POLR2A,KDM2A,High
POLR2A,KMT2D,High
POLR2A,RUNX3,High
POLR2A,PLK1,High
RELB,RELB,High
RELB,VDR,High
RELB,JUNB,High
RELB,IRF7,Low
RELB,NR1I2,Low
RELB,RUNX3,High
RELB,ZBTB17,High
RELB,CSK,High
RELB,KDM2A,High
RELB,TP73,High
RELB,GFI1,High
RELB,MAPKAPK2,High
RUNX3,RUNX3,High
SIX5,CSK,Low
SIX5,SETD1B,Low
SIX5,SRF,Low
SOX10,SOX10,High
SOX10,SOX5,High
SOX10,DSTYK,High
SOX10,MITF,High
SP1,INO80,Low
SP1,MAP3K1,Low
SP1,SOX5,Low
SP1,SP1,High
SP1,KMT2D,High
SP1,NSD1,High
SP1,SETD1B,High
SP1,PLK2,Low
SP1,NFATC2,Low
SP1,BRD2,High
SP1,DYRK1A,High
SP1,EP300,High
SP1,NFAT5,High
SP1,VEZF1,High
SRF,BRD2,Low
SRF,SRF,High
SRF,NFYA,Low
SRF,THAP11,Low
SRF,MAPKAPK2,High
TGIF1,JUN,Low
TGIF1,TGIF1,Low
TGIF1,KLF6,High
THAP11,THAP11,High
THAP11,ADCK3,High
THAP11,CBFB,Low
THAP11,SRF,Low
THAP11,CSNK2A2,Low
TP73,TP73,High
VDR,VDR,High
YBX1,BUB1B,Low
YBX1,PLK1,High
YBX1,YBX1,High
ZBTB17,CSK,Low
ZBTB17,KDM2A,Low
ZBTB17,SIX5,Low
ZBTB17,STK11,Low
ZBTB17,TP73,Low
ZBTB17,GLI4,Low
ZBTB17,MAP2K7,Low
ZFX,DYRK1A,Low
ZFX,ZFX,Low
