geneName	library	medianlFC_DP	medianlFC_VemR	DP_hitStatus_050	DP_hitStatus_066	DP_hitStatus_075	VemR_hitStatus_050	VemR_hitStatus_066	VemR_hitStatus_075	EffectOnScreen_DP	EffectOnScreen_VemR	DPtier	VemRtier
BRWD3	epigenetic	-0.32170427857607	0.203030453676724	No	No	No	No	No	No	down	up	tierNotHit	tierNotHit
BRWD3	epigenetic	-0.00726460316688793	0.252903646963765	No	No	No	No	No	No	down	up	tierNotHit	tierNotHit
CARM1	epigenetic	-0.964612731472799	-0.219861016113806	yes	No	No	No	No	No	down	down	tier050	tierNotHit
CDK1	epigenetic	-0.649816142737538	-0.499626473454092	No	No	No	No	No	No	down	down	tierNotHit	tierNotHit
CECR2	epigenetic	0.103860971822415	-0.0791796834065153	No	No	No	No	No	No	up	down	tierNotHit	tierNotHit
CHD1	epigenetic	0.078176578523651	-0.250835565678644	No	No	No	No	No	No	up	down	tierNotHit	tierNotHit
CHD1L	epigenetic	-0.0562381530902925	-0.253624686262765	No	No	No	No	No	No	down	down	tierNotHit	tierNotHit
CHD2	epigenetic	-1.18660664714962	-0.604028849846056	yes	No	No	No	No	No	down	down	tier050	tierNotHit
CHD3	epigenetic	0.340772388972059	0.0339380987360522	No	No	No	No	No	No	up	up	tierNotHit	tierNotHit
CHD4	epigenetic	-4.53804615315496	0.30991800794853	yes	No	No	No	No	No	down	up	tier050	tierNotHit
CHD5	epigenetic	0.202968153831986	0.221632988619733	No	No	No	No	No	No	up	up	tierNotHit	tierNotHit
CHD6	epigenetic	-0.131468813668677	0.833806584916092	No	No	No	No	No	No	down	up	tierNotHit	tierNotHit
CHD7	epigenetic	-1.75299519975044	-0.621953426771163	yes	yes	yes	No	No	No	down	down	tier075	tierNotHit
CHD8	epigenetic	-0.320501392749964	1.05026224921465	No	No	No	No	No	No	down	up	tierNotHit	tierNotHit
CHD9	epigenetic	0.203227713876141	-0.46526124819475	No	No	No	No	No	No	up	down	tierNotHit	tierNotHit
CLOCK	epigenetic	0.209129081799542	0.00452975592586017	No	No	No	No	No	No	up	up	tierNotHit	tierNotHit
CREBBP	epigenetic	-0.285641826473289	0.474190063070926	No	No	No	No	No	No	down	up	tierNotHit	tierNotHit
CREBBP	epigenetic	-0.337950012472798	0.287371665234488	No	No	No	No	No	No	down	up	tierNotHit	tierNotHit
DOT1L	epigenetic	1.94507596431311	-0.155580265743114	yes	yes	yes	No	No	No	up	down	tier075	tierNotHit
EHMT1	epigenetic	-0.343544213417325	0.180533595178825	No	No	No	No	No	No	down	up	tierNotHit	tierNotHit
EHMT2	epigenetic	-0.761546140754649	0.00230192692085706	No	No	No	No	No	No	down	up	tierNotHit	tierNotHit
ELP3	epigenetic	0.351128987827307	-0.427725209602865	No	No	No	No	No	No	up	down	tierNotHit	tierNotHit
EP300	epigenetic	1.60974449614865	0.218578054873456	yes	yes	No	No	No	No	up	up	tier066	tierNotHit
EP300	epigenetic	1.96629469125464	0.552515319797102	yes	yes	yes	No	No	No	up	up	tier075	tierNotHit
EP400	epigenetic	0.0566624425504446	-0.450495608173512	No	No	No	No	No	No	up	down	tierNotHit	tierNotHit
ERCC6	epigenetic	0.000493225140879668	0.0213708038196352	No	No	No	No	No	No	up	up	tierNotHit	tierNotHit
EZH1	epigenetic	0.0422784014618347	-0.1701039587085	No	No	No	No	No	No	up	down	tierNotHit	tierNotHit
EZH2	epigenetic	1.11127010443118	0.0596441233997634	yes	No	No	No	No	No	up	up	tier050	tierNotHit
GCN5	epigenetic	0.223809107260784	-0.243350897253516	No	No	No	No	No	No	up	down	tierNotHit	tierNotHit
GTF3C4	epigenetic	-0.030257337103216	0.0765671067527275	No	No	No	No	No	No	down	up	tierNotHit	tierNotHit
HAT1	epigenetic	-0.243560576510512	0.342998897908882	No	No	No	No	No	No	down	up	tierNotHit	tierNotHit
HBO1	epigenetic	0.174243466838615	-0.514818464288427	No	No	No	No	No	No	up	down	tierNotHit	tierNotHit
HDAC1	epigenetic	-0.151913536440933	-0.198721975448706	No	No	No	No	No	No	down	down	tierNotHit	tierNotHit
HDAC10	epigenetic	-0.0984155488409117	0.00339560961736989	No	No	No	No	No	No	down	up	tierNotHit	tierNotHit
HDAC11	epigenetic	0.628077951989572	0.0245914809962197	No	No	No	No	No	No	up	up	tierNotHit	tierNotHit
HDAC2	epigenetic	0.567378717589057	-0.232961264184406	No	No	No	No	No	No	up	down	tierNotHit	tierNotHit
HDAC3	epigenetic	0.301558695031738	0.0922774331217523	No	No	No	No	No	No	up	up	tierNotHit	tierNotHit
HDAC4	epigenetic	-0.190703201631256	0.0777097994700448	No	No	No	No	No	No	down	up	tierNotHit	tierNotHit
HDAC5	epigenetic	-0.190262489020259	0.244214467474946	No	No	No	No	No	No	down	up	tierNotHit	tierNotHit
HDAC6	epigenetic	0.0601479823231121	-0.124532761351457	No	No	No	No	No	No	up	down	tierNotHit	tierNotHit
HDAC7	epigenetic	-0.0137873036789202	0.104149330708653	No	No	No	No	No	No	down	up	tierNotHit	tierNotHit
HDAC8	epigenetic	0.00768953137049222	0.405649403799755	No	No	No	No	No	No	up	up	tierNotHit	tierNotHit
HDAC9	epigenetic	-0.123737901049089	-0.182668169089357	No	No	No	No	No	No	down	down	tierNotHit	tierNotHit
HELLS	epigenetic	0.256867974200913	0.703305138957389	No	No	No	No	No	No	up	up	tierNotHit	tierNotHit
HIF1AN	epigenetic	0.867853032567554	-0.178755273858965	No	No	No	No	No	No	up	down	tierNotHit	tierNotHit
HLTF	epigenetic	-0.25327777996103	-0.106230146130521	No	No	No	No	No	No	down	down	tierNotHit	tierNotHit
HR	epigenetic	-0.188827291003585	0.252797918470081	No	No	No	No	No	No	down	up	tierNotHit	tierNotHit
HSPBAP1	epigenetic	0.289869137042281	0.505571327111136	No	No	No	No	No	No	up	up	tierNotHit	tierNotHit
INO80	epigenetic	0.325096027204524	-0.839202797442347	No	No	No	No	No	No	up	down	tierNotHit	tierNotHit
JARID2	epigenetic	-0.115144279794074	0.193778764163419	No	No	No	No	No	No	down	up	tierNotHit	tierNotHit
JMJD1C	epigenetic	0.329861254921038	0.526670731961239	No	No	No	No	No	No	up	up	tierNotHit	tierNotHit
JMJD4	epigenetic	0.175786203278811	0.0595717872094138	No	No	No	No	No	No	up	up	tierNotHit	tierNotHit
JMJD6	epigenetic	0.39517075040041	-0.283091025179021	No	No	No	No	No	No	up	down	tierNotHit	tierNotHit
JMJD7	epigenetic	-0.0780383394323867	0.0368527759473317	No	No	No	No	No	No	down	up	tierNotHit	tierNotHit
JMJD8	epigenetic	0.58417838106992	0.379143965691985	No	No	No	No	No	No	up	up	tierNotHit	tierNotHit
KAT2A	epigenetic	-0.492265140637252	-0.429754874607922	No	No	No	No	No	No	down	down	tierNotHit	tierNotHit
KAT2B	epigenetic	0.823634043336228	0.111554264702542	No	No	No	No	No	No	up	up	tierNotHit	tierNotHit
KDM1A	epigenetic	-0.989441852532663	0.412761662347614	yes	No	No	No	No	No	down	up	tier050	tierNotHit
KDM1B	epigenetic	-0.186472089233873	-0.286730240460242	No	No	No	No	No	No	down	down	tierNotHit	tierNotHit
KDM2A	epigenetic	-0.762454587335329	-1.3070338526443	No	No	No	yes	yes	No	down	down	tierNotHit	tier066
KDM2B	epigenetic	-0.115127069881389	0.192459070024487	No	No	No	No	No	No	down	up	tierNotHit	tierNotHit
KDM3A	epigenetic	0.288361031921742	-0.228532802143358	No	No	No	No	No	No	up	down	tierNotHit	tierNotHit
KDM3B	epigenetic	-0.133755260466709	-0.402227044678014	No	No	No	No	No	No	down	down	tierNotHit	tierNotHit
KDM4A	epigenetic	0.543459654805861	-0.0655225861953623	No	No	No	No	No	No	up	down	tierNotHit	tierNotHit
KDM4B	epigenetic	0.038168245478951	0.0294753306586684	No	No	No	No	No	No	up	up	tierNotHit	tierNotHit
KDM4C	epigenetic	-0.0127460711813016	-0.17691831316827	No	No	No	No	No	No	down	down	tierNotHit	tierNotHit
KDM4D	epigenetic	0.0813257739334966	-0.0913318126937463	No	No	No	No	No	No	up	down	tierNotHit	tierNotHit
KDM5A	epigenetic	0.100706614829237	-0.206058980642767	No	No	No	No	No	No	up	down	tierNotHit	tierNotHit
KDM5B	epigenetic	-0.106676027708312	0.293289155643625	No	No	No	No	No	No	down	up	tierNotHit	tierNotHit
KDM5C	epigenetic	0.754303251693443	0.193112695463577	No	No	No	No	No	No	up	up	tierNotHit	tierNotHit
KDM5D	epigenetic	0.384589754621832	0.00639889347899767	No	No	No	No	No	No	up	up	tierNotHit	tierNotHit
KDM6A	epigenetic	-0.148128455218773	0.831940991479706	No	No	No	No	No	No	down	up	tierNotHit	tierNotHit
KDM6B	epigenetic	-0.238494677385339	0.0185468490720691	No	No	No	No	No	No	down	up	tierNotHit	tierNotHit
KDM7A	epigenetic	-0.0397334021852727	-0.272363489840366	No	No	No	No	No	No	down	down	tierNotHit	tierNotHit
KDM8	epigenetic	0.817207815737397	0.191160521568326	No	No	No	No	No	No	up	up	tierNotHit	tierNotHit
KMT2A	epigenetic	0.329998268479556	-0.448178391265138	No	No	No	No	No	No	up	down	tierNotHit	tierNotHit
KMT2B	epigenetic	-0.68275717008382	-0.243326815141909	No	No	No	No	No	No	down	down	tierNotHit	tierNotHit
KMT2C	epigenetic	-0.0721024218652686	-0.0497819746456847	No	No	No	No	No	No	down	down	tierNotHit	tierNotHit
KMT2D	epigenetic	2.08952487582937	2.53102098866886	yes	yes	yes	No	No	No	up	up	tier075	tierNotHit
MINA	epigenetic	0.0785679433952317	0.102131934434404	No	No	No	No	No	No	up	up	tierNotHit	tierNotHit
MLL1	epigenetic	0.244682962979123	-0.769800780534881	No	No	No	No	No	No	up	down	tierNotHit	tierNotHit
MLL5	epigenetic	-0.278798954981419	0.195807536236227	No	No	No	No	No	No	down	up	tierNotHit	tierNotHit
MOF	epigenetic	-0.949307668505032	-0.604462693176928	yes	No	No	No	No	No	down	down	tier050	tierNotHit
MORF	epigenetic	0.249975369688036	-0.302682183196077	No	No	No	No	No	No	up	down	tierNotHit	tierNotHit
MOZ	epigenetic	0.762420914786841	0.0804455712307477	No	No	No	No	No	No	up	up	tierNotHit	tierNotHit
NAT10	epigenetic	0.31911952714682	-0.297838475186688	No	No	No	No	No	No	up	down	tierNotHit	tierNotHit
NCOA1	epigenetic	0.0559697976913869	0.449091985894635	No	No	No	No	No	No	up	up	tierNotHit	tierNotHit
NCOA2	epigenetic	0.405103832372445	0.0500923282233763	No	No	No	No	No	No	up	up	tierNotHit	tierNotHit
NO66	epigenetic	-0.370771924490026	-0.0498845198876376	No	No	No	No	No	No	down	down	tierNotHit	tierNotHit
NSD1	epigenetic	-1.94592251959752	-0.0237285481533393	yes	yes	No	No	No	No	down	down	tier066	tierNotHit
NSD2	epigenetic	-0.483203528717938	0.215037467821558	No	No	No	No	No	No	down	up	tierNotHit	tierNotHit
NSD3	epigenetic	-0.16847522423943	-0.128537586045325	No	No	No	No	No	No	down	down	tierNotHit	tierNotHit
PADI4	epigenetic	-0.0173280222203899	-0.206440271723975	No	No	No	No	No	No	down	down	tierNotHit	tierNotHit
PBRM1	epigenetic	0.426503651131546	0.309092944185676	No	No	No	No	No	No	up	up	tierNotHit	tierNotHit
PBRM1	epigenetic	0.716453647098407	0.283523417412942	No	No	No	No	No	No	up	up	tierNotHit	tierNotHit
PBRM1	epigenetic	0.831072351058952	-0.0792504427637942	No	No	No	No	No	No	up	down	tierNotHit	tierNotHit
PBRM1	epigenetic	1.01827644274432	-0.0786648726503267	No	No	No	No	No	No	up	down	tierNotHit	tierNotHit
PBRM1	epigenetic	0.773507088651783	-0.211121090775119	No	No	No	No	No	No	up	down	tierNotHit	tierNotHit
PBRM1	epigenetic	0.962396327292265	0.300111678781331	No	No	No	No	No	No	up	up	tierNotHit	tierNotHit
PCAF	epigenetic	0.59088256470709	1.06969359638261	No	No	No	yes	No	No	up	up	tierNotHit	tier050
PHF2	epigenetic	0.179340120199045	0.106871621275421	No	No	No	No	No	No	up	up	tierNotHit	tierNotHit
PHF8	epigenetic	0.73888133616828	1.24798348409945	No	No	No	yes	No	No	up	up	tierNotHit	tier050
PhIP	epigenetic	0.0160359857743733	0.469905343498077	No	No	No	No	No	No	up	up	tierNotHit	tierNotHit
PhIP	epigenetic	-0.100502847032796	0.726666896130849	No	No	No	No	No	No	down	up	tierNotHit	tierNotHit
PRDM2	epigenetic	-0.000597909975167821	0.00366167646898069	No	No	No	No	No	No	down	up	tierNotHit	tierNotHit
PRDM8	epigenetic	-0.0678761305458692	0.00529100250821709	No	No	No	No	No	No	down	up	tierNotHit	tierNotHit
PRDM9	epigenetic	-0.228399293248245	0.902718374763755	No	No	No	No	No	No	down	up	tierNotHit	tierNotHit
PRMT1	epigenetic	0.606803746774706	-0.286935011748359	No	No	No	No	No	No	up	down	tierNotHit	tierNotHit
PRMT2	epigenetic	-0.244396716330686	0.00299842802463125	No	No	No	No	No	No	down	up	tierNotHit	tierNotHit
PRMT3	epigenetic	0.0951204999764221	-0.284489631479893	No	No	No	No	No	No	up	down	tierNotHit	tierNotHit
PRMT5	epigenetic	0.0785152449357879	-0.399889899196364	No	No	No	No	No	No	up	down	tierNotHit	tierNotHit
PRMT6	epigenetic	-0.35143749072013	-0.209382238337026	No	No	No	No	No	No	down	down	tierNotHit	tierNotHit
PRMT7	epigenetic	0.344246625371575	-0.121016638469635	No	No	No	No	No	No	up	down	tierNotHit	tierNotHit
PRMT8	epigenetic	0.181849417567651	0.0758936512680519	No	No	No	No	No	No	up	up	tierNotHit	tierNotHit
PRMT9	epigenetic	-0.68308324954318	-0.647705303387943	No	No	No	No	No	No	down	down	tierNotHit	tierNotHit
RAD54L	epigenetic	-0.475065768331006	-0.0156861826475842	No	No	No	No	No	No	down	down	tierNotHit	tierNotHit
RAD54L2	epigenetic	-0.285099681948593	0.23981842498354	No	No	No	No	No	No	down	up	tierNotHit	tierNotHit
Rosa	epigenetic	0.640100820433078	-0.223555327556636	No	No	No	No	No	No	up	down	tierNotHit	tierNotHit
Rosa	epigenetic	0.640100820433078	-0.223555327556636	No	No	No	No	No	No	up	down	tierNotHit	tierNotHit
Rosa	epigenetic	0.640100820433078	-0.223555327556636	No	No	No	No	No	No	up	down	tierNotHit	tierNotHit
Rosa	epigenetic	0.640100820433078	-0.223555327556636	No	No	No	No	No	No	up	down	tierNotHit	tierNotHit
Rosa	epigenetic	0.640100820433078	-0.223555327556636	No	No	No	No	No	No	up	down	tierNotHit	tierNotHit
Rosa	epigenetic	0.640100820433078	-0.223555327556636	No	No	No	No	No	No	up	down	tierNotHit	tierNotHit
Rosa	epigenetic	0.640100820433078	-0.223555327556636	No	No	No	No	No	No	up	down	tierNotHit	tierNotHit
Rosa	epigenetic	0.640100820433078	-0.223555327556636	No	No	No	No	No	No	up	down	tierNotHit	tierNotHit
Rosa	epigenetic	0.640100820433078	-0.223555327556636	No	No	No	No	No	No	up	down	tierNotHit	tierNotHit
SETD1A	epigenetic	1.33616982725175	0.518770648327889	yes	No	No	No	No	No	up	up	tier050	tierNotHit
SETD1B	epigenetic	-0.275585257868584	-0.745078978482205	No	No	No	No	No	No	down	down	tierNotHit	tierNotHit
SETD2	epigenetic	0.380671588937353	-0.574268656232339	No	No	No	No	No	No	up	down	tierNotHit	tierNotHit
SETD4	epigenetic	-0.122269987458642	0.0199758358028179	No	No	No	No	No	No	down	up	tierNotHit	tierNotHit
SETD5	epigenetic	-0.0681391452506848	0.386288916990277	No	No	No	No	No	No	down	up	tierNotHit	tierNotHit
SETD6	epigenetic	-0.0672955348400892	-0.178933046615713	No	No	No	No	No	No	down	down	tierNotHit	tierNotHit
SETD7	epigenetic	-0.361812666749437	-0.243353193505768	No	No	No	No	No	No	down	down	tierNotHit	tierNotHit
SETD8	epigenetic	-0.267703836348799	-0.614491881432951	No	No	No	No	No	No	down	down	tierNotHit	tierNotHit
SETDB1	epigenetic	-0.253500059632522	-0.131267189312991	No	No	No	No	No	No	down	down	tierNotHit	tierNotHit
SETDB2	epigenetic	-0.170759521425901	0.0593652966640708	No	No	No	No	No	No	down	up	tierNotHit	tierNotHit
SETMAR	epigenetic	0.339003529855689	0.0925895004653005	No	No	No	No	No	No	up	up	tierNotHit	tierNotHit
SHPRH	epigenetic	0.0683112531673558	-0.117986611202071	No	No	No	No	No	No	up	down	tierNotHit	tierNotHit
SIRT1	epigenetic	0.323664184793527	-0.0412857633751035	No	No	No	No	No	No	up	down	tierNotHit	tierNotHit
SIRT2	epigenetic	-0.208052640114011	0.240126470194769	No	No	No	No	No	No	down	up	tierNotHit	tierNotHit
SIRT3	epigenetic	-0.549519362477497	0.28826858870251	No	No	No	No	No	No	down	up	tierNotHit	tierNotHit
SIRT4	epigenetic	0.122290111744396	0.166773264775322	No	No	No	No	No	No	up	up	tierNotHit	tierNotHit
SIRT5	epigenetic	0.0636227843165911	0.294394094232977	No	No	No	No	No	No	up	up	tierNotHit	tierNotHit
SIRT6	epigenetic	-0.751541802680687	-0.0921072079500452	No	No	No	No	No	No	down	down	tierNotHit	tierNotHit
SIRT7	epigenetic	0.0265323528690426	-0.0544467288160433	No	No	No	No	No	No	up	down	tierNotHit	tierNotHit
SMARCA2	epigenetic	-0.453562523613561	0.00408820438092626	No	No	No	No	No	No	down	up	tierNotHit	tierNotHit
SMARCA2	epigenetic	0.123440217233484	0.0542739552361975	No	No	No	No	No	No	up	up	tierNotHit	tierNotHit
SMARCA4	epigenetic	0.187385187013894	0.518926623585904	No	No	No	No	No	No	up	up	tierNotHit	tierNotHit
SMARCA4	epigenetic	NA	NA	No	No	No	No	No	No	NA	NA	tierNotHit	tierNotHit
SMARCAD1	epigenetic	0.304727836741799	0.220654310966565	No	No	No	No	No	No	up	up	tierNotHit	tierNotHit
SMARCAL1	epigenetic	-0.234811294126431	-0.471504474081747	No	No	No	No	No	No	down	down	tierNotHit	tierNotHit
SMYD1	epigenetic	-0.297165687212637	-0.251762155008139	No	No	No	No	No	No	down	down	tierNotHit	tierNotHit
SMYD2	epigenetic	0.115491366692772	0.149642012547003	No	No	No	No	No	No	up	up	tierNotHit	tierNotHit
SMYD3	epigenetic	-0.258591148785224	-0.0292294417918143	No	No	No	No	No	No	down	down	tierNotHit	tierNotHit
SMYD4	epigenetic	-0.645998467624794	-0.229486042051206	No	No	No	No	No	No	down	down	tierNotHit	tierNotHit
SMYD5	epigenetic	-0.0990863901255455	-0.0514478961101245	No	No	No	No	No	No	down	down	tierNotHit	tierNotHit
SP100	epigenetic	-0.085228892675276	0.299563351645793	No	No	No	No	No	No	down	up	tierNotHit	tierNotHit
SP140	epigenetic	0.554076038157113	0.823030474194617	No	No	No	No	No	No	up	up	tierNotHit	tierNotHit
SP140L	epigenetic	-0.818421985078626	-0.22010931135056	No	No	No	No	No	No	down	down	tierNotHit	tierNotHit
SRCAP	epigenetic	-Inf	-Inf	No	No	No	No	No	No	down	down	tierNotHit	tierNotHit
SUV39H1	epigenetic	0.723037201279072	0.158674125626437	No	No	No	No	No	No	up	up	tierNotHit	tierNotHit
SUV39H2	epigenetic	-0.15590168607692	0.232290612221778	No	No	No	No	No	No	down	up	tierNotHit	tierNotHit
SUV420H1	epigenetic	2.10842220984155	2.27716583668763	No	No	No	yes	yes	No	up	up	tierNotHit	tier066
SUV420H2	epigenetic	0.229626502975848	0.260283211335795	No	No	No	No	No	No	up	up	tierNotHit	tierNotHit
TAF1	epigenetic	1.04110718442971	0.168019426862024	No	No	No	No	No	No	up	up	tierNotHit	tierNotHit
TAF1	epigenetic	-1.47346920217624	-0.758530283059496	yes	No	No	yes	No	No	down	down	tier050	tier050
TAF1	epigenetic	0.107657237911888	-0.226779893987502	No	No	No	No	No	No	up	down	tierNotHit	tierNotHit
TET1	epigenetic	0.0580687889257445	0.287660126710848	No	No	No	No	No	No	up	up	tierNotHit	tierNotHit
TET2	epigenetic	0.292569599785619	0.31907839968284	No	No	No	No	No	No	up	up	tierNotHit	tierNotHit
TET3	epigenetic	-0.133454096166674	0.357630287277775	No	No	No	No	No	No	down	up	tierNotHit	tierNotHit
TIP60	epigenetic	-1.58580496674198	-0.348557349062651	yes	No	No	No	No	No	down	down	tier050	tierNotHit
TRIM24	epigenetic	0.298985207004575	0.517118432625496	No	No	No	No	No	No	up	up	tierNotHit	tierNotHit
TRIM28	epigenetic	0.445474565790973	0.157295349196337	No	No	No	No	No	No	up	up	tierNotHit	tierNotHit
TRIM33	epigenetic	0.115166489716315	0.169081781345559	No	No	No	No	No	No	up	up	tierNotHit	tierNotHit
TRIM66	epigenetic	-0.28541820354573	0.38410962716943	No	No	No	No	No	No	down	up	tierNotHit	tierNotHit
TTF2	epigenetic	-0.234127731651742	-0.418296511926698	No	No	No	No	No	No	down	down	tierNotHit	tierNotHit
UTY	epigenetic	-0.212494203055747	-0.109250816013089	No	No	No	No	No	No	down	down	tierNotHit	tierNotHit
ZMYND11	epigenetic	0.498231168927862	0.0507050016690601	No	No	No	No	No	No	up	up	tierNotHit	tierNotHit
ZMYND8	epigenetic	-0.221711303128837	-0.152493450334742	No	No	No	No	No	No	down	down	tierNotHit	tierNotHit
AAK1	kinase	-0.260175040183514	0.0726820751955152	No	No	No	No	No	No	down	up	tierNotHit	tierNotHit
AATK	kinase	-0.363064559335106	-0.0111856335117238	No	No	No	No	No	No	down	down	tierNotHit	tierNotHit
ABL1	kinase	-0.262217012262401	-0.189602753847803	No	No	No	No	No	No	down	down	tierNotHit	tierNotHit
ABL2	kinase	0.384754887898175	-0.0398502354694866	No	No	No	No	No	No	up	down	tierNotHit	tierNotHit
ACVR1	kinase	-0.046216379697221	0.161138204115381	No	No	No	No	No	No	down	up	tierNotHit	tierNotHit
ACVR1B	kinase	0.554830618213133	0.367539241708628	No	No	No	No	No	No	up	up	tierNotHit	tierNotHit
ACVR1C	kinase	-0.150727305796448	0.0794066597895079	No	No	No	No	No	No	down	up	tierNotHit	tierNotHit
ACVR2A	kinase	0.0127582432887146	0.25044324752762	No	No	No	No	No	No	up	up	tierNotHit	tierNotHit
ACVRL1	kinase	0.00337561057117274	0.241271861058808	No	No	No	No	No	No	up	up	tierNotHit	tierNotHit
ADCK1	kinase	-0.32067395163326	0.554932832545679	No	No	No	No	No	No	down	up	tierNotHit	tierNotHit
ADCK2	kinase	0.327529853234807	0.702496055264145	No	No	No	yes	No	No	up	up	tierNotHit	tier050
ADCK3	kinase	-0.142587018623039	-1.04337289161116	No	No	No	yes	No	No	down	down	tierNotHit	tier050
ADCK4	kinase	0.15431920909718	0.198809954264491	No	No	No	No	No	No	up	up	tierNotHit	tierNotHit
ADCK5	kinase	0.50140556096402	-0.258051258840542	No	No	No	No	No	No	up	down	tierNotHit	tierNotHit
ADRBK1	kinase	0.322503745887534	0.914481589831037	No	No	No	No	No	No	up	up	tierNotHit	tierNotHit
ADRBK2	kinase	0.214012307827269	1.05344880314724	No	No	No	yes	No	No	up	up	tierNotHit	tier050
AK1	kinase	0.22179289795026	0.0730382707034072	No	No	No	No	No	No	up	up	tierNotHit	tierNotHit
AK2	kinase	-0.101838873296711	0.0224379804508751	No	No	No	No	No	No	down	up	tierNotHit	tierNotHit
AK3	kinase	0.73653241785894	0.289880444254221	No	No	No	No	No	No	up	up	tierNotHit	tierNotHit
AKT1	kinase	0.492887076082263	0.395053662503473	No	No	No	No	No	No	up	up	tierNotHit	tierNotHit
AKT2	kinase	-0.162783211485704	0.175375048522339	No	No	No	No	No	No	down	up	tierNotHit	tierNotHit
AKT3	kinase	0.463884908875392	-0.265140311126655	No	No	No	No	No	No	up	down	tierNotHit	tierNotHit
ALK	kinase	-0.144279924201284	0.0653365317010223	No	No	No	No	No	No	down	up	tierNotHit	tierNotHit
AMHR2	kinase	-0.527794646456345	0.347563065202188	No	No	No	No	No	No	down	up	tierNotHit	tierNotHit
ANKK1	kinase	-0.0953138637574811	0.297272371475282	No	No	No	No	No	No	down	up	tierNotHit	tierNotHit
ARAF	kinase	0.142059283301627	0.277541369006116	No	No	No	No	No	No	up	up	tierNotHit	tierNotHit
