geneName	library	medianlFC_DP	medianlFC_VemR	DP_hitStatus_050	DP_hitStatus_066	DP_hitStatus_075	VemR_hitStatus_050	VemR_hitStatus_066	VemR_hitStatus_075	EffectOnScreen_DP	EffectOnScreen_VemR	DPtier	VemRtier
ACAT1	epigenetic	-0.134549094946122	-0.182593327371683	No	No	No	No	No	No	down	down	tierNotHit	tierNotHit
ACTR	epigenetic	0.06633211021023	-0.0555147990203249	No	No	No	No	No	No	up	down	tierNotHit	tierNotHit
ASH1L	epigenetic	0.207156636084746	-0.0141650534514399	No	No	No	No	No	No	up	down	tierNotHit	tierNotHit
ASH1L	epigenetic	-0.102890507717148	-0.24698867902007	No	No	No	No	No	No	down	down	tierNotHit	tierNotHit
ATAD2	epigenetic	0.0923970474005858	-0.185781456644057	No	No	No	No	No	No	up	down	tierNotHit	tierNotHit
ATAD2B	epigenetic	0.266199633833566	-0.213765158632924	No	No	No	No	No	No	up	down	tierNotHit	tierNotHit
ATAT1	epigenetic	0.240266963558486	-0.103486384718152	No	No	No	No	No	No	up	down	tierNotHit	tierNotHit
ATF2	epigenetic	-0.237364977605962	-0.0390614587898536	No	No	No	No	No	No	down	down	tierNotHit	tierNotHit
ATRX	epigenetic	-0.018291545051532	-0.715212747744548	No	No	No	No	No	No	down	down	tierNotHit	tierNotHit
BAZ1A	epigenetic	0.1206376452012	0.320375064454326	No	No	No	No	No	No	up	up	tierNotHit	tierNotHit
BAZ1B	epigenetic	-0.013489807367691	0.434297235768194	No	No	No	No	No	No	down	up	tierNotHit	tierNotHit
BAZ2A	epigenetic	-0.625469786394901	-0.530339517245717	No	No	No	No	No	No	down	down	tierNotHit	tierNotHit
BAZ2B	epigenetic	0.123547856965572	0.312086147396024	No	No	No	No	No	No	up	up	tierNotHit	tierNotHit
BPTF	epigenetic	0.811093637551403	-0.606470863616025	No	No	No	No	No	No	up	down	tierNotHit	tierNotHit
BRD1	epigenetic	-0.314387489557638	-0.281700017722926	No	No	No	No	No	No	down	down	tierNotHit	tierNotHit
BRD2-BD1	epigenetic	-1.88220451556905	-0.383838445292367	yes	yes	yes	No	No	No	down	down	tier075	tierNotHit
BRD2-BD2	epigenetic	-1.18206093779604	-0.146813702413964	yes	yes	yes	No	No	No	down	down	tier075	tierNotHit
BRD3	epigenetic	-0.0453733367849188	-0.0674541444371564	No	No	No	No	No	No	down	down	tierNotHit	tierNotHit
BRD3	epigenetic	-0.264040451704886	0.169480799443806	No	No	No	No	No	No	down	up	tierNotHit	tierNotHit
BRD4	epigenetic	-0.614183354179989	-0.263458086443096	No	No	No	No	No	No	down	down	tierNotHit	tierNotHit
BRD4	epigenetic	0.236792680019884	0.0624199462989188	No	No	No	No	No	No	up	up	tierNotHit	tierNotHit
BRD8	epigenetic	0.06195492538697	-0.904094320363975	No	No	No	No	No	No	up	down	tierNotHit	tierNotHit
BRD9	epigenetic	-1.607528991369	0.130737542401395	yes	yes	No	No	No	No	down	up	tier066	tierNotHit
BRDT	epigenetic	0.248720222880289	-0.00521151206612841	No	No	No	No	No	No	up	down	tierNotHit	tierNotHit
BRDT	epigenetic	-0.248545109568176	-0.138605944306247	No	No	No	No	No	No	down	down	tierNotHit	tierNotHit
BRPF1	epigenetic	0.0273251848929373	0.410354477293658	No	No	No	No	No	No	up	up	tierNotHit	tierNotHit
BRPF3	epigenetic	0.522962975565061	0.247309010342441	No	No	No	No	No	No	up	up	tierNotHit	tierNotHit
BRWD1	epigenetic	-0.334333109795456	-0.297613421131002	No	No	No	No	No	No	down	down	tierNotHit	tierNotHit
BRWD1	epigenetic	-0.213645669246569	0.31140011723688	No	No	No	No	No	No	down	up	tierNotHit	tierNotHit
