target	totalRcells_lFC	Rcolonies_lFC	survivingCells_lFC	EffectOnScreen_DP	EffectOnScreen_VemR	DPtier	VemRtier
ADCK3	0.257498420390682	2.34700575332299	-0.0148943267771353	down	down	tier4	tier3
BRD2	-0.269401283374898	-1.61164292015594	-0.222955276197735	down	down	tier1	tier4
BRD8	-0.368443109980968	2.91937721778699	-0.866457662677531	up	down	tier4	tier4
CBFB	0.539163568164414	2.6146127158678	0.455414822433972	up	up	tier1	tier4
CSK	1.9423890956666	2.97904869466749	1.70427486397621	up	up	tier4	tier1
DOT1L	0.931999829849086	4.87529500660583	-0.63574331288958	up	down	tier1	tier4
DSTYK	0.298821360955775	2.05536664459809	0.183822362539207	up	down	tier1	tier4
EGFR	0.00425716536982423	-0.474412513874112	0.0166312612122923	down	down	tier1	tier4
EP300	-0.00973390555243704	0.304245109782265	-0.0507858959158947	up	up	tier1	tier4
FEZF2	0.721752922059724	5.2103867822403	-0.663702784003464	up	down	tier4	tier3
FOSL1	-0.0455180113110542	1.13937409628645	-0.0726768034354001	up	up	tier1	tier4
GATA4	0.627964472680878	1.39549594994133	0.554740974343939	up	up	tier1	tier4
JUN	0.131537566341417	-2.33236131284594	0.20468670105565	down	down	tier3	tier4
JUNB	0.579130569695477	2.18083233973067	0.311971152875657	up	up	tier1	tier3
KDM1A	0.560097222613961	-2.07041501874729	0.63081630322475	down	up	tier3	tier4
KMT2D	1.19793424642917	4.09133578693941	0.472080044699758	up	up	tier1	tier4
LATS2	0.610694418017437	3.23961482377848	0.224104292623768	up	up	tier1	tier1
MAP2K7	0.0374515737492456	-2.41522532911722	0.10583466096536	down	up	tier4	tier4
MAP3K1	-0.146637727923306	-2.44685097612311	-0.0712727554342645	down	up	tier3	tier4
MITF	2.25031959488186	6.29595998402111	0.804104290249675	up	up	tier1	tier3
MTF1	-0.285298049207452	-2.79195784965934	-0.211886682429893	up	down	tier3	tier3
MYBL1	-0.0968420825308714	-0.941985572541386	-0.0338863329663341	up	down	tier1	tier4
Neg01	0.0835776325763408	0.570298152010096	0.044043941692664	NA	NA	NA	NA
Neg02	-0.0887187794661168	-0.956880628447679	-0.0454310132153667	NA	NA	NA	NA
NFAT5	-0.1503846189881	-0.0376565706005999	-0.129437540678744	down	down	tier1	tier4
NSD1	-0.00848603187084073	-1.6124731845466	0.0659727674854927	down	down	tier2	tier4
PKN2	-0.51520874520308	-1.80415418857673	-0.467321181505451	down	down	tier2	tier2
PRKAA1	-0.571206188046326	-1.6121042371388	-0.498153221072867	up	down	tier4	tier4
PRKRIR	0.626878116227269	5.24104766555502	-0.526898615705008	up	up	tier1	tier2
RUNX3	3.22848253890669	7.47050276563277	1.00802077670891	up	up	tier1	tier2
SOX10	3.88927242881866	8.49087327073588	2.03516840644052	up	down	tier1	tier4
SRF	-0.43920468823721	0.787120669395399	-0.451384760409606	down	down	tier1	tier1
STK11	-0.571814450483147	1.0029100596338	-0.550490270087813	down	down	tier2	tier4
SUV420H1	3.10078829243919	7.64074409987505	1.06672843398683	up	up	tier4	tier2
TADA2B	0.573149913864049	4.07884669362776	0.135341445243481	up	up	tier4	tier4
